# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_outlaws
# Exported by: Reverend Jesse V92
setting:	replacespawns 1
ttt_random_weapon	325.443695 -1314.031250 -254.248901	0.956 2.351 -99.162
ttt_random_weapon	217.491867 -1304.412109 -249.807510	-3.053 -1.641 86.395
ttt_random_weapon	164.844040 -1191.225586 -254.391052	-0.632 -5.323 -100.704
ttt_random_weapon	-50.692703 -988.682068 -222.686707	0.424 2.675 -98.953
ttt_random_weapon	-344.300720 -563.238892 -246.686615	0.441 2.678 -98.863
ttt_random_weapon	-82.371124 -657.769287 -246.686630	0.438 2.678 -98.876
ttt_random_weapon	223.108521 -600.183777 -254.687469	0.301 2.587 -99.631
ttt_random_weapon	591.364136 -717.209656 -118.687256	0.318 2.644 -99.553
ttt_random_weapon	397.076172 -543.307495 -118.687202	0.343 2.657 -99.398
ttt_random_weapon	72.605255 -453.081757 -118.687080	0.363 2.663 -99.290
ttt_random_weapon	154.118240 -457.746002 -118.686699	0.424 2.675 -98.953
ttt_random_weapon	443.585938 -175.778687 -207.706970	-3.297 5.372 86.810
ttt_random_weapon	39.393078 -76.166779 -118.686722	0.420 2.675 -98.976
ttt_random_weapon	343.725525 -78.284920 -118.686546	0.450 2.679 -98.811
ttt_random_weapon	-184.259216 -29.807528 -246.686584	0.444 2.678 -98.845
ttt_random_weapon	-931.719788 -1230.380249 -222.686966	0.382 2.667 -99.183
ttt_random_weapon	-1246.806885 -625.130920 -245.526413	-3.591 -1.491 82.467
ttt_random_weapon	-1451.455933 -292.670624 -254.687103	0.394 2.579 -99.123
ttt_random_weapon	-1748.135376 402.186188 -238.686646	0.433 2.677 -98.903
ttt_random_weapon	-1598.176270 479.538818 -238.686356	0.484 2.682 -98.625
ttt_random_weapon	-1244.551270 541.089539 -238.686996	0.376 2.666 -99.217
ttt_random_weapon	-1058.636841 312.509583 -110.686562	0.448 2.679 -98.822
ttt_random_weapon	-908.356567 107.509056 -238.687088	0.360 2.662 -99.303
ttt_random_weapon	74.356133 543.654724 -110.686539	0.452 2.679 -98.800
ttt_random_weapon	-154.829819 742.933044 -244.214066	-4.851 0.387 83.648
ttt_random_weapon	-668.702515 939.755005 -238.686813	0.404 2.672 -99.062
ttt_random_weapon	-1368.167969 999.214844 -246.170319	-3.613 5.360 85.665
ttt_random_weapon	-980.033752 1596.932739 -251.637604	1.310 3.365 -95.129
ttt_random_weapon	-576.928467 1719.270874 -238.704041	0.005 2.760 -98.679
ttt_random_weapon	-192.629623 2206.157471 -222.687027	0.372 2.665 -99.241
